confusion_set	target	suggestion	rating	sentence
Weather,Whether,weather,whether	whether	weather	1	We usually went to the beach to have a bath and to enjoy the fantastic [MASK] in that part of Spain during the summer .  
Week,weak,week	weak	week	1	I like to apologise with you , because I did n't wrote to you recently , but I like to tell you what hapend to me in the last [MASK] I had the opportunity to help in one of the most pop concert in my city , so imagen , I fell really really good and exating for that I do n't have words for describe
Week,weak,week	weak	week	1	Sorry for not writing you before , but I have been so busy , because last [MASK] I went to a pop concert to help the singers .  
Week,weak,week	weak	week	1	"Dear Sir or Mam ,  Last [MASK] , I went to London to see the musical "" Over the Rainbow "" .  "
Were,Where,were,where	were	where	1	but there 's one main rule I must tell them [MASK] I go
Were,Where,were,where	where	were	1	Hope you enjoy my experiences  I had everythig planned , I and my family [MASK] coming to whatch your show and then have a decent meal at your theatre restaurant but it was disasterous .  
Were,Where,were,where	where	were	1	That was a dissapointment for my whole family , infact all the viewers [MASK] very dissappointed .  
Were,Where,were,where	where	were	1	Thankyou for your time and attention  Another bad thing about this school was that there [MASK] different types of students that formed groups .  
Were,Where,were,where	where	were	1	Some [MASK] just friend groups but others took it seriously , maby just a bit too seriously , they gave themselves names and acted as gangs rather than just groups of friends , and started picking on younger people , or mempers of other gang , trying to start fights with them .  
Were,Where,were,where	where	were	1	The time had come the who groups had comdined their forces and [MASK] ready to strike .  
Were,Where,were,where	where	were	1	Lots of People wher injured and even more [MASK] suspended the next day at school , when the Headmaster found out what had happened .  
Were,Where,were,where	were	where	1	Hope to hear from you :  Science and Technology is a theme very discussed nowdays , most of the comunity of our city , and of the world , [MASK] technology has arrived , confirms that it has in some way improved their way of life .  
Were,Where,were,where	were	where	1	Now we are in a 20th centure [MASK] people went to the moun and discavered madesons aboute siriale illneses , In that year I live too .  
Were,Where,were,where	where	were	1	Furthermore , I had to make announcements at the loudspeaker for the children who [MASK] lost .  
Were,Where,were,where	were	where	1	I thought you were a good theatre , [MASK] people can go and have a good evening alone or with somebody else , but realy I am very disappointed and I want to ask for my money back .  
Were,Where,were,where	where	were	1	Beside this , we [MASK] invited to visit the theatre restaurant after the show , but it was closed because it was being redecorated .  
Were,Where,were,where	were	where	1	You can comunicate with people from place [MASK] you never can imagine to have a trip because it will be too expensive .  
Were,Where,were,where	were	where	1	After they caught me I think they brought me to the Area 57 , [MASK] the police do experiments .  
Were,Where,were,where	where	were	1	Firstly I found amazing the number of starts and artist who came to the festival although they [MASK] from only six countries around the world .  
Were,Where,were,where	were	where	1	I can go out at night once a week if I tell them [MASK] I 'm going to be .  
Were,Where,were,where	where	were	1	Among all these the theatre restaurant was closed , because the shef and the waiters [MASK] on holiday .  
Which,Witch,which,witch	witch	which	1	With a friend we had seen your advertisement for the show , [MASK] was very attractive .  
Which,Witch,which,witch	witch	which	1	At the began of my work in a Insurance Company , I had only a old writting machine , [MASK] makes a lot of noise and was very difficult to write with it because the switch were hard for my small fingers .  
Which,Witch,which,witch	witch	which	1	Now I have a new computer , [MASK] is very easy to use , and confortable for my fingers also more farrster .  
Which,Witch,which,witch	witch	which	1	When the show started Danny Brook was not acting , [MASK] was a great dissapointment for us both .  
Word,World,word,world	word	world	1	First the conquist of the space , then the computers , and now the new biotecnologies have changed , and are changing , the face of the [MASK] .  
Word,World,word,world	word	world	1	I 'm sure that the people that had decided to meet this [MASK] they did not realised that there is a price to pay .  
Word,World,word,world	world	word	1	"What does means the [MASK] "" shopping "" ?  I live and I need different goods for survive .  "
Word,World,word,world	word	world	1	It should be done show so people can see how people in every corner of the [MASK] make theyr own fun .  
Word,World,word,world	word	world	1	Anyway I am hard working for the [MASK] cup at sailing .  
You,Your,you,your	you	your	1	My name is Furilo J.M. and last month I spent a few days in London , I visited [MASK] theatre .  
You,Your,you,your	you	your	1	I have just received a letter from you where you say I won the first prize in [MASK] competition .  
You,Your,you,your	you	your	1	Finally , after an hour , when my term came to buy the entrance ticket , [MASK] staff said I could n't have a discount
You,Your,you,your	your	you	0	Becouse the show was very long , we were getting hungry but of course [MASK] 's theatre restaurants was closed because of holiday .  
You,Your,you,your	you	your	1	Waiting for [MASK] replay .  
You,Your,you,your	your	you	1	We have been very excited about this and coincidentely we have found another option to add in our programme , certainly if [MASK] agree with .  
You,Your,you,your	you	your	1	Thank you very much for [MASK] time .  
You,Your,you,your	you	your	1	Thanks for [MASK] letter .  
You,Your,you,your	your	you	1	I really appreciate [MASK] choosing me .  
You,Your,you,your	you	your	1	Acording to the choice whether I prefer tends or log cabins , I think I will turn to the first one because I have always loved camping the nearest to nature , if it 's possible in front of a lake or a river , if [MASK] camping has one , so that I will be able to practise my favorite and skillful hobby : sailing .  
You,Your,you,your	your	you	1	Especially , queue up for twenty minutes for just paying the money or waiting for the salesgirl getting [MASK] the right size of clothes .  
You,Your,you,your	you	your	1	At first , [MASK] advertisement said there were Danny Brook and Tina Truelove , but it had different actor disappointely .  
You,Your,you,your	your	you	1	"I am writing to [MASK] to complain about the musical show called "" Over the rainbow ""  Secondly , the show had to begin at 19.30 pm , in fact he began at 20.15 pm and that without any explainations !  "
You,Your,you,your	you	your	1	During our stay we saw a bright advertisement of your theatre and decided to see this newest and best musical show ( as it was said in [MASK] advertisement ) .  
You,Your,you,your	you	Your	1	Some words about tickets : [MASK] ad noticed that discounts were available so we did n't have money with us .  
You,Your,you,your	you	your	1	I am writing this as a reply for [MASK] request to provide you with some information about my preferencies .  
You,Your,you,your	you	your	1	Another thing is that they pay you for [MASK] job and it is a good money .  
You,Your,you,your	your	you	1	I 'm writing you because I had been asked to make a little suggestion about the programme [MASK] have organised to our English class travel .  
You,Your,you,your	you	your	1	"First of all , I appreciate [MASK] well-organised programme , especially , "" River Trip to Greenwich "" which we requested .  "
You,Your,you,your	you	your	1	I am very happy to know that I have won the first prize in [MASK] competition .  
You,Your,you,your	you	your	1	I look forward to receiving [MASK] reply .  
You,Your,you,your	you	your	1	Going to the shopping centre with [MASK] family can be a good experience .  
You,Your,you,your	your	you	1	At the end I realized that all [MASK] need is co-operation and do n't think selfishly .  
You,Your,you,your	you	your	1	If this was n't enough [MASK] strength and mental health can be completely destroyed when despite having been stolen , having spent hours walking around and being tired and hungry you finally buy something you really liked with your credit card and after having walked a few blocks you see the same item at half price in another shop .  
You,Your,you,your	your	you	1	If you do n't have the majority [MASK] are n't allowed to drink or smoke , or even worth to go in a bar .  
You,Your,you,your	you	your	1	Secondly , [MASK] advertisement stated that the second show should start at 19:30 .  
You,Your,you,your	You	Your	1	[MASK] restaurant was closed because your cooker was ill .  
You,Your,you,your	you	your	1	Thirdly if you 're fat you wo n't find [MASK] size .  
You,Your,you,your	your	you	1	How are you ?  I 've well received your last letter and want to thank [MASK] for the pictures you 've joined with .  
You,Your,you,your	Your	You	1	[MASK] state in your advertisment that he would come on stage , but instead of him someone else turned up .  
You,Your,you,your	your	you	1	"I am writing in order to tell [MASK] some things that happened to me at the theatre , at that moment I felt astonish thinking about : "" How an important theatre have problems like this ."
You,Your,you,your	your	you	1	I am writting to you to give [MASK] my opinion about your festival .  
You,Your,you,your	you	your	1	Finally , I hope that you understand my personal opinion about the programme , I will understand accept [MASK] personal opinion as well .  
You,Your,you,your	you	your	1	As well as that , I expect [MASK] plays and films are performed more .  
You,Your,you,your	you	your	1	Finally , I wanted to visit [MASK] theatre restaurant after the show but it was already closed .  
You,Your,you,your	you	your	1	and they are only spent on material things , you would put [MASK] money in the bank because you do n't need it now , but tomorrow you do n't know .  
You,Your,you,your	your	you	0	I do n't expected that I can win in [MASK] 's competition .  
You,Your,you,your	you	your	1	You mentioned the chance to choose two activities from [MASK] list .  
You,Your,you,your	Your	You	1	[MASK] know , this age is the trouble age , boys have too much energy and girls want to fall in love with someone .  
You,Your,you,your	your	you	1	How are you ?  I am sorry that I did n't write any letter to [MASK] during last month .  
You,Your,you,your	you	your	1	so I recommend you to change the actor because he will make an audience who visit [MASK] theatre disappoint .  
You,Your,you,your	your	You	1	[MASK] do n't tell any detile about how must coses For ticket for go in siend .  
You,Your,you,your	you	your	1	and we 're very exsciting about [MASK] programme.
You,Your,you,your	you	your	1	I am very please to receive [MASK] letter , and read all the question you ask me , now , I answer the question .  
You,Your,you,your	you	your	1	"I 'm writing to complain about what it happened me two days ago , during [MASK] musical show "" OVER THE RAINBOW "" .  "
You,Your,you,your	your	you	1	Those devices made our life easier like old fridges had to be defreezed to melt out and new fridges use different kind of cooling and will tell you if [MASK] forgot to close the door !  
You,Your,you,your	your	you	1	We are really appriciate about giving very nice program , which is organised by [MASK] this time .  
You,Your,you,your	you	your	1	I felt very upset about [MASK] advertisement was totaly different between the musical show .  
You,Your,you,your	You	your	1	"How dared you could show "" [MASK] perfect evening out "" in you advertisement .  "
You,Your,you,your	you	your	1	"How dared you could show "" You perfect evening out "" in [MASK] advertisement .  "
You,Your,you,your	you	your	1	Thank for [MASK] patience .  
You,Your,you,your	you	your	1	Thanks for [MASK] letter .  
You,Your,you,your	you	your	1	Thanks in advance for [MASK] advice .  
You,Your,you,your	your	you	1	Without the development of modern technology , it may take [MASK] several years to reach the destination .  
You,Your,you,your	you	your	1	I hope I 've answered all [MASK] questions and I would be please if mine could also be answered .  
You,Your,you,your	you	your	1	I am looking for [MASK] reply .  
You,Your,you,your	you	your	1	At the end of the month when your husband will receive the bill from [MASK] visa card he will have an heart-attack !  
You,Your,you,your	you	your	1	Answering to [MASK] question I wo n't change nothing because I think that these are the minimum rules that a theenager have to have to be responsable in a future .  
You,Your,you,your	you	your	1	For example , you can dance folk be Hamlet in the street , or even sing with some of your friends a nice song from [MASK] country .  
You,Your,you,your	you	your	1	I would like to answer to [MASK] question , please notice that I can travel only in July because only then I can take holidays from my work , after the busy time of month May and June .  
You,Your,you,your	you	your	1	I thin that it is very dangerous because the famous peple cannot have [MASK] private life and on the other hand they may suffer from deppresion and sadness which may be lead them to suicide .  
You,Your,you,your	you	your	0	You should be pride of [MASK] helping people who suffers , and at the same time you may enjoy yourself !  
You,Your,you,your	your	you	1	I will be very thankfull if [MASK] could return me half or some of my money , or even to make the corresponding discount .  
You,Your,you,your	you	your	1	I 'm looking forward to receiving [MASK] reply as soon as possibly .  
You,Your,you,your	you	your	0	In conclusion , besides all mentioned , I highly recommond [MASK] video students ' daily life and interview them .  
You,Your,you,your	your	you	1	I would like to asking some information about that what kind of clothes I have to wearing and how many [MASK] are charge .  
You,Your,you,your	your	you	1	so we ca n't find what we are looking for with calm because everybody is pushing you to the other place that you want to go  First of all I would like to say thanks for your letter and [MASK] care about your customers .  
You,Your,you,your	you	your	0	You 've just finished your long hours at work , [MASK] tide , you had row with your boss but you are still going to do shopping .  
You,Your,you,your	you	your	0	I am writing to [MASK] inconnection with your programme of spending three days in London .  
You,Your,you,your	you	your	1	You should spend more money on buying clothes and food , you will very happy when you buy it , but , when you come back home take out [MASK] purse , you must be feel sad , you purse nearly empty , ( when you do n't have enough money . )  
You,Your,you,your	you	your	1	You should spend more money on buying clothes and food , you will very happy when you buy it , but , when you come back home take out you purse , you must be feel sad , [MASK] purse nearly empty , ( when you do n't have enough money . )  
You,Your,you,your	you	your	1	a lot of thief there , they will steal [MASK] money , that 's so dangerous .  
You,Your,you,your	your	you	1	I am writing to [MASK] about the trip in London .  
You,Your,you,your	you	your	1	According to me , you ca n't deserve to have a private life when you 're famous because when to start [MASK] career you know that medias will be hunting you everywhere and more famous you get worst it is going to be because that the life style people wants to know everything , for instance , about their favourite actor or about their president..
You,Your,you,your	you	your	1	I was pleased to recieve [MASK] letter ricently .  
You,Your,you,your	you	your	1	However , shopping is nice to spend [MASK] leisure time and give yourself to relax sometimes , but suggest that never in the weekend .  
You,Your,you,your	your	you	0	I 've attened [MASK] shown on one of the evening , during my stay in London .  
You,Your,you,your	you	your	1	It would provide you with a new type of material to cover [MASK] body and you can chosse what you want to wear by pressing bottons .  
You,Your,you,your	you	your	1	and while I was spending some days in London I could see [MASK] advertisement so I decided to go to see it .  
You,Your,you,your	your	you	1	I hope [MASK] answer soon .  
advice,advise	advice	advise	0	Finally , the actors were not Danny Brook and Tina Truelove , but others I have never seeing before , and the restaurant was closed with no [MASK] .  
advice,advise	advise	advice	0	At the end of show , unfortunately for me and the others spectators , the worst thing happened : the theatre 's restaurant was closed without any reasons and nobody went to us to apologise or [MASK] us for an other restaurant opened late in the night .  
advice,advise	advice	advise	0	Pat gave same [MASK] for me and I disayded to have an operetion .  
advice,advise	advice	advise	0	"My [MASK] for you is : "" Do not put to much subjects , just put a few subject and make them look interesting ""  My name is German Schmidt"
advice,advise	advice	advise	0	To sum up , my [MASK] is that the women should go alone or with a female friend .  
advice,advise	advice	advise	0	But my [MASK] for people , who like it so much that can not help doing it , is to try shopping in the afternoon , at this hour no-one do shopping and if there are some shops that are closed you can always go to a shopping mall .  
advice,advise	advice	advise	0	There were some people they gave me some [MASK] to clean the face and etc .  
advice,advise	advice	advise	0	Because I do n't like to give some [MASK] it 's can be willy boring .  
brakes,breaks	breaks	brakes	0	Of course there was the cooking and bar-tending for anyone who was hungry during the [MASK] .  
Country,County,country,county	country	county	0	A lot of [MASK] buy gans for their safty as they say but they buy them do kill people .  
Country,County,country,county	country	county	0	One cold day , Hungbu saw a bird that had a broken wing , so the bird could n't fly to the warmer [MASK] during the winter .  
Effect,affect,effect	affect	effect	0	Shopping does not just [MASK] us mentally , but also physically .  
Effect,affect,effect	affect	effect	0	Some of them are big and some of theme are small , but they [MASK] our lives in the same way .  
Effects,affects,effects	effects	affects	0	On the other hand , the [MASK] that it has on our daily life is not always good as sometime , the technology went wrong and out of hand of people who control it can cause disaster accidents , for example : plane crashes , trains crashed and explosion of nuclears bomb .  
Effects,affects,effects	affects	effects	0	It 's something absoletuly necessary for every action people does It [MASK] us both positive and negative .  
Effects,affects,effects	affects	effects	0	Often people do not see how it [MASK] our life style .  
Effects,affects,effects	effects	affects	1	I think that our lives are lives with technology , they sometimes mean the same as science and [MASK] not on at each other but together .  
Except,accept,except	except	accept	1	Thank 's for [MASK] me in the competition .  
Except,accept,except	accept	except	0	We hope we do not cause any problems to your programme and hope that you will [MASK] our request .  
Except,accept,except	accept	except	0	I would be grateful to [MASK] this prize .  
Form,From,form,from	from	form	0	I hope you will consider this proposition and I am looking forward to hearing [MASK] you .  
Form,From,form,from	from	form	1	It is difficult to see any enjoyment in shopping : facing the crowd , having to withstand the rude clerks and shop managers , trying desperately to choose the right thing - these burdens [MASK] the dark side of shopping .  
Hole,Whole,hole,whole	whole	hole	0	The things that really dissapointed me were that you said Danny Brook and Tina Truelove were suposed to be the actors but they were n't , different actors played and to be honest they made the [MASK] show very bad .  
Hole,Whole,hole,whole	whole	hole	0	It starts already in the morning that we wake up by the sound of an alarm clock , than in the bathroom we have running hot water and also the [MASK] house is warm due to central heating .  
Hole,Whole,hole,whole	whole	hole	0	I had spent the [MASK] last week in London with one of my colleagues .  
Hole,Whole,hole,whole	whole	hole	0	We were too young to stay a [MASK] weekend alone .  
Hole,Whole,hole,whole	whole	hole	0	I believe that some ather actors mabe made the [MASK] store to be more interesting .  
Hole,Whole,hole,whole	whole	hole	0	Seen my [MASK] life I can say the moden technology has changed my daily life in many ways .  
Hole,Whole,hole,whole	whole	hole	0	I was a little more portient so I stayed to watch the [MASK] show , which by the way was the worst I had ever seen .  
Hole,Whole,hole,whole	whole	hole	0	Unfortunately , Pat was n't very good at keeping secrets and so his [MASK] schoole knew from Sara 's experience .  
Hole,Whole,hole,whole	whole	hole	0	I met lots of nice and cool people , and what I most enjoyed was the crazy atmospher of the [MASK] thing .  
Hole,Whole,hole,whole	whole	hole	0	Now I 'm very happy because I learned that friends are the most important thing in the [MASK] world .  
Hole,Whole,hole,whole	whole	hole	0	and so I was laying down the [MASK] weekend .  
Hole,Whole,hole,whole	whole	hole	0	After reading the [MASK] organized programme , we all agreed about the sightseeing by bus around London wich will give us the knowledge about this fantastic city we all want to meet since time ago .  
Lead,Led,lead,led	lead	led	0	"On the other hand , the excess of comodity can [MASK] us , in the future , to a completely "" cold "" world , because of the distance between people that can be caused .  "
Life,Live,life,live	life	live	0	Science and technology can give us a better [MASK] style or better food .  
Life,Live,life,live	life	live	0	Internet brought a new way to my [MASK] since I started to use it .  
Life,Live,life,live	life	live	0	"Obviously , there is no point in saying "" famous people have a right to their own [MASK] ."
Life,Live,life,live	Life	Live	0	[MASK] is too short to think about the poscesives .  
Life,Live,life,live	life	live	0	The houses will change because of new technologe , what may make our [MASK] more comfortable .  
Life,Live,life,live	life	live	0	I retired four years ago and my [MASK] is very bored .  
Life,Live,life,live	life	live	0	I was very happy that I managed to save the [MASK] of the boy .  
Life,Live,life,live	life	live	0	You should ignore the dangerous if you convince you can save somebody his [MASK] .  
Life,Live,life,live	life	live	0	The [MASK] is more comfortable with all the new machines you can use at home , at the office or it is helful to live with all the new medical machines in the hospitals .  
Life,Live,life,live	live	life	0	I could n't [MASK] without modern music .  
Life,Live,life,live	life	live	0	The old man is a sad person but he loves his [MASK] and lives on the beach because he ca n't stay without see the sea for a day .  
Life,Live,life,live	life	live	0	It 's difficult for us to realize the changes in our [MASK] , but we can think about it .  
Life,Live,life,live	life	live	0	I told them you are full of [MASK] and they are yours favourite polish group .  
Life,Live,life,live	life	live	0	How expensive the [MASK] is there ?  
Life,Live,life,live	life	live	1	He had problems at home because his mother wanted to settle down to Australia , but Peter was used to [MASK] in New York , overcrowded and surronded by people .  
Life,Live,life,live	life	live	1	Also I prefer the Camp California because I have just finish my military service and I got use to [MASK] in the campus .  
Life,Live,life,live	life	live	0	Despite his way of [MASK] , his best friend was Anna , the most popular girl in the school .  
Life,Live,life,live	life	live	0	She explained everything what happened in her [MASK] to Pat .  
Life,Live,life,live	life	live	0	When Pat was 16 , he decided to change his way of [MASK] , spending more time with friends , but what he could do to have some friends ?  
Life,Live,life,live	live	life	0	Nowadays , there is a lot of people that [MASK] only with the money they get in advertisments , reports about their last romance , ... but not everyone does the same .  
Life,Live,life,live	life	live	0	I had the best expreience in my [MASK] .  
Life,Live,life,live	life	live	0	Internet is a good way of meeting people that are far from us , we can also inform ourselves on what happens in [MASK] , or search for special leisure with a quick result .  
loose,lose	lose	loose	0	I sometimes [MASK] my desire to buy a thing because of their badly behaviers .  
loose,lose	lose	loose	0	Now , I [MASK] less of time and can use the technology to enjoy myself .  
loose,lose	lose	loose	0	So did he finally win or [MASK] ?  
loose,lose	lose	loose	0	Yes , but we must n't [MASK] the values and our free time to stay with our family .  
loose,lose	lose	loose	0	I can say it with confidence that I am quite good at basketball - I play it for my school 's team and I am going to train it in August as well - I do n't want to [MASK] touch with it .  
loose,lose	lose	loose	0	Consequently I ask you for some money back seeing that I think : it 's not worth the bother to [MASK] money for such a show.
Mad,Made,mad,made	mad	made	0	She did n't want to tell the teachers at school or any other person because she was afraid that if her stepfather find out about that , he would get [MASK] and hit her , or even worse , kill her mother .  
Mad,Made,mad,made	mad	made	0	I am really [MASK] and I want my money back , please call me to the number 23456789 , I will be waiting your call .  
Mad,Made,mad,made	made	mad	0	And that [MASK] the concert absolutely perfect .  
Past,passed,past	past	passed	1	Because human high wo n't change so much , unless 10000 years [MASK] .  
Peace,Piece,peace,piece	piece	peace	0	I was holding a [MASK] of paper which my mum gave to me .  
Peace,Piece,peace,piece	peace	piece	0	It is bad for the world 's [MASK] .  
Plain,plain,plane	plane	plain	0	The following Sunday I fint my self on a [MASK] flying 20000ft from the ground .  
Quiet,Quite,quiet,quite	quite	quiet	0	I am [MASK] sure , even the ones , who have chosen their occupies just to be famous , do n't like to be pictured when they believe they are alone .  
Quiet,Quite,quiet,quite	quiet	quite	0	It 's hard to be extremely [MASK] for five hours
Quiet,Quite,quiet,quite	quite	quiet	0	That might be [MASK] complicated to understand , especially for young people .  
Quiet,Quite,quiet,quite	quite	quiet	0	I 'll choose golf and basketball , golf because I 'm [MASK] good .  
Quiet,Quite,quiet,quite	quite	quiet	0	So in my opinion , modern technology changed my daily routine [MASK] a lot .  
Quiet,Quite,quiet,quite	quite	quiet	0	We had preparred [MASK] a long time ago , this travel to the capital and spared a lot of money as well .  
Quiet,Quite,quiet,quite	quite	quiet	0	It was [MASK] scary for me , but I said to myself , come on you can do it .  
Quiet,Quite,quiet,quite	quiet	quite	0	Firstly , in our classroom you ca n't shout , you must be [MASK] and sat .  
Quiet,Quite,quiet,quite	quiet	quite	0	Can you imagine how exsiting when we stay in the dark and very [MASK] and we can hear a sound of animal .  
Quiet,Quite,quiet,quite	quiet	quite	0	However , this apparently [MASK] and relaxed activitie can sometimes turn into a living hell ; you may only be able to go shopping at the weekend and then , if you do go , you will find yourself in the middle of a huge crowd of people , unable to get to any product or even shop and feeling dizzy by the mixture of smells that come from the people .  
Quiet,Quite,quiet,quite	quiet	quite	0	If it were n't a calm and [MASK] public , we would have had troubles .  
Quiet,Quite,quiet,quite	quite	quiet	0	I 've been practicing this sport since 5 years , so I 'm [MASK] good .  
Quiet,Quite,quiet,quite	quite	quiet	0	In fact , I soon practice tennis and I am [MASK] good at , and it will the occasion to train myself surfing is completely unknown for me and I hope that I will like it .  
Quiet,Quite,quiet,quite	quite	quiet	0	You have to be [MASK] an attention in class if you would n't to be punished .  
Rise,raise,rise	raise	rise	0	Although this project could seem a very though work , I had to try it in order to [MASK] my low global mark .  
Than,Then,than,then	then	than	0	Sarah looked at him for a while , [MASK] she stood in front of the class and explaind to the others , that she won a prize for 20 people to travel for 1 week to the sea of southern France and everybody of the 19 pupils was invited , except Pat who was n't very good at keeping secrets .  
Than,Then,than,then	then	than	0	It starts already in the morning that we wake up by the sound of an alarm clock , [MASK] in the bathroom we have running hot water and also the hole house is warm due to central heating .  
Than,Then,than,then	then	than	0	"During the week we descide where we want to go , we all agree to listen to music so [MASK] we descide to come to your musical show and listen to "" Over the Rainbow "" .  "
Than,Then,than,then	then	than	0	P.S. please would you like to explain why ?  sincinerly from Ki  In order to live happily the sciencetist can easily perdict the changes on earth , so [MASK] we can have time to perpare or defence our self from the Natural diseasters .  
Than,Then,than,then	then	than	0	Secondly , I think it is would be better to stay tents , so [MASK] we can have a nice time at Camp California and find many interesting games to play in .  
Than,Then,than,then	than	then	0	I am not a photographer but my family think that my photos are more [MASK] just good .  
Than,Then,than,then	then	than	0	We were thinking that meaby we can go early to visit the Science Museum and [MASK] go to the Central Exhibition , where the event is going to have place !  
Than,Then,than,then	than	then	0	In conclusion , I think that modern technology get my life more interesting , but I prefer to stay with my friends and with my girlfriend [MASK] in front of a computer !  
Than,Then,than,then	than	then	0	Therefore , it cost me more money [MASK] usual .  
Than,Then,than,then	than	then	0	We now breathe worse air in our lungs , [MASK] our grand-parents breathed .  
Than,Then,than,then	then	than	1	Another thing that I appreciate a lot is the electric guitar ; I like very much play guitar , and in my free time I prefer play electric , [MASK] acoustic or classic guitar using distortion and gain and the highest volume possible .  
Than,Then,than,then	than	then	0	And last but not least I recognised after the show that your theatre restaurant was closed because waiters did n't come ...  I do n't know it is a typical situation in the Circle Theatrer that is promised much more [MASK] the people can get for their money , or it was on June 7 ( my visit ) only , but I am not agree with such situation and would ask you for my money back - my bank account number is enclosed .  
Than,Then,than,then	than	then	0	We were thinking is so many other activites to relax and enjoy ourself [MASK] sunbathing on the beach .  
Than,Then,than,then	than	then	0	"It is convinient , I mean "" double "" lessons because you have more time to understand matherial what is givven and because you have to prepare only four subjects for "" tomorrow "" and it is less [MASK] seven subjects .  "
Than,Then,than,then	Then	Than	0	[MASK] I was told to stay in front of the entrance door and check the tickets .  
Than,Then,than,then	than	then	0	and it is more enjoyable to live in a tent [MASK] in cabins .  
Than,Then,than,then	than	then	0	In basketball I have more practise [MASK] in tennis .  
Than,Then,than,then	than	then	0	The show started late [MASK] I expected .  
Than,Then,than,then	then	than	0	"Yeah fokes , that was the point I got interupted by my parents in this beautiful dream , but when you will hear the end of my story [MASK] buy the "" Rossall-School-magazin "" , net time again , and you will hear the end of this unbelievable story .  "
Than,Then,than,then	than	then	0	But then you are at the university you need money more , [MASK] anybody else want .  
Than,Then,than,then	than	then	0	Computer it is our way of with outside world comunicat , wheres with airplanes we can rich our parents , friends easily and much faster , [MASK] if we would use bouts or trains .  
Than,Then,than,then	than	then	0	Same thing more [MASK] 100 years ego the people have n't got the light .  
