confusion_set	target	suggestion	sentence
To,Too,Two,to,too,two	to	too	And at the end , my opinion is that one weekend ticket for all events is a great idea , because you do n't have to stay in queues to buy a ticket for a show , you want to go [to] .  
Effect,affect,effect	effect	affect	Shopping does not just [effect] us mentally , but also physically .  
Plain,plain,plane	plane	plain	If we came back to the past , we felt everything , it was so difficult to do , we would have [plane] and done by ourself and last time .  
Country,County,country,county	county	country	I used to be play in school team when I was in high school and our team was the one of the best Basketball team in all [county]
Their,There,They,their,there,they	their	there	so I had an argument with the people Who worked [their]
To,Too,Two,to,too,two	to	too	But all they have done is told me that I am [to] young for it
Were,Where,were,where	were	where	but there 's one main rule I must tell them [were] I go
Form,From,form,from	form	from	I hope you will consider this proposition and I am looking forward to hearing [form] you .  
You,Your,you,your	your	you	From [your] 's list of activities I choose sailing and climbing .  
Than,Then,than,then	than	then	Sarah looked at him for a while , [than] she stood in front of the class and explaind to the others , that she won a prize for 20 people to travel for 1 week to the sea of southern France and everybody of the 19 pupils was invited , except Pat who was n't very good at keeping secrets .  
Country,County,country,county	county	country	The reason of my decision is that other activities are availiable to take also in my [county] , except climbing , but I have fear of heights so this one is not destinated for people like me .  
Effects,affects,effects	affects	effects	On the other hand , the [affects] that it has on our daily life is not always good as sometime , the technology went wrong and out of hand of people who control it can cause disaster accidents , for example : plane crashes , trains crashed and explosion of nuclears bomb .  
Hole,Whole,hole,whole	hole	whole	The things that really dissapointed me were that you said Danny Brook and Tina Truelove were suposed to be the actors but they were n't , different actors played and to be honest they made the [hole] show very bad .  
Their,There,They,their,there,they	their	there	Another thing was that you said discounts are available which is very important for students , but no [their] were n't any .  
Their,There,They,their,there,they	their	there	Also after the show your restaurant was closed because [their] was n't enough staff .  
Than,Then,than,then	than	then	It starts already in the morning that we wake up by the sound of an alarm clock , [than] in the bathroom we have running hot water and also the hole house is warm due to central heating .  
Hole,Whole,hole,whole	hole	whole	It starts already in the morning that we wake up by the sound of an alarm clock , than in the bathroom we have running hot water and also the [hole] house is warm due to central heating .  
Weather,Whether,weather,whether	whether	weather	I 'm not scared of darkness , rain , cold or hot [whether] .  
Than,Then,than,then	Than	Then	[Than] you for reading .  
Life,Live,life,live	live	life	Science and technology can give us a better [live] style or better food .  
Their,There,They,their,there,they	There	They	[There] are the natural material on one side whereas on the other side the fashion industry produce more and more syntetical clothes , which relay on the production cost .  
You,Your,you,your	you	your	My name is Furilo J.M. and last month I spent a few days in London , I visited [you] theatre .  
To,Too,Two,to,too,two	to	too	There were supposed to be discounts for the tickets , what appeared to be wrong [to] .  
Word,World,word,world	word	world	She told me , that he was hansom , kind , well-understanding ( he understood her from a half of the [word] ) ; the main was he also liked her very much !  
To,Too,Two,to,too,two	two	to	Furthermore , you asked me to choise [two] activities I would like to do .  
You,Your,you,your	you	your	I have just received a letter from you where you say I won the first prize in [you] competition .  
Life,Live,life,live	live	life	Internet brought a new way to my [live] since I started to use it .  
You,Your,you,your	you	your	Finally , after an hour , when my term came to buy the entrance ticket , [you] staff said I could n't have a discount
You,Your,you,your	your	You	Dear Sir or Madam ,  Unfortunatelly I have to complained about musical show in [your] 's Circle Theatre last evening .  
You,Your,you,your	your	you	When I become [your] 's advertisment concerning the show " Over the Rainbow " I thought that I 'll have a great evening , but unfortunatelly it was a big disappointment for me .  
You,Your,you,your	your	you	Becouse the show was very long , we were getting hungry but of course [your] 's theatre restaurants was closed because of holiday .  
You,Your,you,your	you	your	Waiting for [you] replay .  
Their,There,They,their,there,they	There	Their	[There] names were Ivan and Maria .  
Hole,Whole,hole,whole	hole	whole	I had spent the [hole] last week in London with one of my colleagues .  
Quiet,Quite,quiet,quite	quiet	quite	I am [quiet] sure , even the ones , who have chosen their occupies just to be famous , do n't like to be pictured when they believe they are alone .  
Life,Live,life,live	live	life	Obviously , there is no point in saying " famous people have a right to their own [live] .
Than,Then,than,then	than	then	During the week we descide where we want to go , we all agree to listen to music so [than] we descide to come to your musical show and listen to " Over the Rainbow " .  
Than,Then,than,then	than	then	P.S. please would you like to explain why ?  sincinerly from Ki  In order to live happily the sciencetist can easily perdict the changes on earth , so [than] we can have time to perpare or defence our self from the Natural diseasters .  
You,Your,you,your	your	you	We have been very excited about this and coincidentely we have found another option to add in our programme , certainly if [your] agree with .  
To,Too,Two,to,too,two	two	to	I do n't know what the weather is like , and you are paid for travel costs , but I am wondering that it is included [two] activities .  
You,Your,you,your	you	your	Thank you very much for [you] time .  
Week,weak,week	weak	week	I like to apologise with you , because I did n't wrote to you recently , but I like to tell you what hapend to me in the last [weak] I had the opportunity to help in one of the most pop concert in my city , so imagen , I fell really really good and exating for that I do n't have words for describe
Their,There,They,their,there,they	they	there	it 's was when one of the group [they] with me one rose for my work am really proud about them !  
advice,advise	advise	advice	Finally , the actors were not Danny Brook and Tina Truelove , but others I have never seeing before , and the restaurant was closed with no [advise] .  
Than,Then,than,then	than	then	Secondly , I think it is would be better to stay tents , so [than] we can have a nice time at Camp California and find many interesting games to play in .  
You,Your,you,your	you	your	Thanks for [you] letter .  
You,Your,you,your	your	you	I really appreciate [your] choosing me .  
You,Your,you,your	you	your	Acording to the choice whether I prefer tends or log cabins , I think I will turn to the first one because I have always loved camping the nearest to nature , if it 's possible in front of a lake or a river , if [you] camping has one , so that I will be able to practise my favorite and skillful hobby : sailing .  
Form,From,form,from	from	Form	[from] your firm .  
advice,advise	advice	advise	At the end of show , unfortunately for me and the others spectators , the worst thing happened : the theatre 's restaurant was closed without any reasons and nobody went to us to apologise or [advice] us for an other restaurant opened late in the night .  
You,Your,you,your	your	you	Especially , queue up for twenty minutes for just paying the money or waiting for the salesgirl getting [your] the right size of clothes .  
loose,lose	loose	lose	I sometimes [loose] my desire to buy a thing because of their badly behaviers .  
You,Your,you,your	you	your	At first , [you] advertisement said there were Danny Brook and Tina Truelove , but it had different actor disappointely .  
loose,lose	loose	lose	Now , I [loose] less of time and can use the technology to enjoy myself .  
You,Your,you,your	your	you	I am writing to [your] to complain about the musical show called " Over the rainbow "  Secondly , the show had to begin at 19.30 pm , in fact he began at 20.15 pm and that without any explainations !  
To,Too,Two,to,too,two	to	too	After the show I wanted to drink somthing in your theatre restaurant but when I arrived it was closed because the show started [to] late !  
You,Your,you,your	you	your	During our stay we saw a bright advertisement of your theatre and decided to see this newest and best musical show ( as it was said in [you] advertisement ) .  
You,Your,you,your	you	Your	Some words about tickets : [you] ad noticed that discounts were available so we did n't have money with us .  
Country,County,country,county	county	country	Another disadvatage of the festival 's programme was lack of plays and films which are the best to display the modern [county] 's culture .  
Their,There,They,their,there,they	there	their	So I would travel on July because I 've got only [there] free time .  
Things,things,thinks	thinks	things	But you can be carefull when you speak with him or her that will stolen your [thinks] .  
You,Your,you,your	you	your	I am writing this as a reply for [you] request to provide you with some information about my preferencies .  
Than,Then,than,then	then	than	I am not a photographer but my family think that my photos are more [then] just good .  
Quiet,Quite,quiet,quite	quite	quiet	It 's hard to be extremely [quite] for five hours
You,Your,you,your	you	your	Another thing is that they pay you for [you] job and it is a good money .  
You,Your,you,your	your	you	I 'm writing you because I had been asked to make a little suggestion about the programme [your] have organised to our English class travel .  
Were,Where,were,where	where	were	Hope you enjoy my experiences  I had everythig planned , I and my family [where] coming to whatch your show and then have a decent meal at your theatre restaurant but it was disasterous .  
Were,Where,were,where	where	were	That was a dissapointment for my whole family , infact all the viewers [where] very dissappointed .  
Their,There,They,their,there,they	there	they	Thankyou for your time and attention  Another bad thing about this school was that [there] where different types of students that formed groups .  
Were,Where,were,where	where	were	Thankyou for your time and attention  Another bad thing about this school was that there [where] different types of students that formed groups .  
Were,Where,were,where	where	were	Some [where] just friend groups but others took it seriously , maby just a bit too seriously , they gave themselves names and acted as gangs rather than just groups of friends , and started picking on younger people , or mempers of other gang , trying to start fights with them .  
Were,Where,were,where	where	were	But no excuses [where] working .  
Were,Where,were,where	where	were	The time had come the who groups had comdined their forces and [where] ready to strike .  
Were,Where,were,where	where	were	Lots of People wher injured and even more [where] suspended the next day at school , when the Headmaster found out what had happened .  
To,Too,Two,to,too,two	two	too	Furthermore , and for sure it is not your fault , some of the halls for the concerts were too small and that prevented me from enjoying some of the concerts because of the noise but also prevented many people from entering the hall that was often [two] crowded .  
Than,Then,than,then	than	then	We were thinking that meaby we can go early to visit the Science Museum and [than] go to the Central Exhibition , where the event is going to have place !  
Quiet,Quite,quiet,quite	quiet	quite	That might be [quiet] complicated to understand , especially for young people .  
Weather,Whether,weather,whether	weather	whether	There are a lot of arguments about the [weather] this influence is negative or positive .  
You,Your,you,your	you	your	First of all , I appreciate [you] well-organised programme , especially , " River Trip to Greenwich " which we requested .  
You,Your,you,your	you	your	I am very happy to know that I have won the first prize in [you] competition .  
You,Your,you,your	you	your	I look forward to receiving [you] reply .  
To,Too,Two,to,too,two	to	too	I wase n't expecting this prize because was [to] good to be true .  
Than,Then,than,then	then	than	In conclusion , I think that modern technology get my life more interesting , but I prefer to stay with my friends and with my girlfriend [then] in front of a computer !  
Mad,Made,mad,made	made	mad	She did n't want to tell the teachers at school or any other person because she was afraid that if her stepfather find out about that , he would get [made] and hit her , or even worse , kill her mother .  
Life,Live,life,live	live	life	Another question I have ; the [live] there , is it as expensive as I think ?  
Their,There,They,their,there,they	there	they	First of all , in the advertisement says that the starring were different actors , and [there] were n't different one , so that can not be .  
Mad,Made,mad,made	made	mad	I am really [made] and I want my money back , please call me to the number 23456789 , I will be waiting your call .  
You,Your,you,your	Your	you	I 'm looking forward to hearing from you as soon as possible [Your] sincerely  Whenever I walk in the street , I always want to go into the every shops .  
Hole,Whole,hole,whole	hole	whole	We were too young to stay a [hole] weekend alone .  
To,Too,Two,to,too,two	to	too	In conclusion I think that people who are [to] much interested in other people life have not an interesting life and are unhappy !  
Mad,Made,mad,made	made	mad	I was supposed to help my friend with the lights , so that I could see all that screaming like [made] crowd .  
Their,There,They,their,there,they	there	they	The advertisment says that Danny Brook and Tina Truelove would play but in this show [there] were totally different actors and that was really disappointing because I was looking forward to them .  
Were,Where,were,where	were	where	Hope to hear from you :  Science and Technology is a theme very discussed nowdays , most of the comunity of our city , and of the world , [were] technology has arrived , confirms that it has in some way improved their way of life .  
You,Your,you,your	you	your	Going to the shopping centre with [you] family can be a good experience .  
Things,things,thinks	thinks	things	I am replying to your letter for the first prize of the competition , that I won and there are a number of [thinks] I would like to make clear .  
You,Your,you,your	your	you	At the end I realized that all [your] need is co-operation and do n't think selfishly .  
To,Too,Two,to,too,two	two	too	It 's difficult just to try [two] but if I have the chance I would like to practice sailing and photography .  
loose,lose	loose	lose	So did he finally win or [loose] ?  
Than,Then,than,then	then	than	Therefore , it cost me more money [then] usual .  
You,Your,you,your	you	your	If this was n't enough [you] strength and mental health can be completely destroyed when despite having been stolen , having spent hours walking around and being tired and hungry you finally buy something you really liked with your credit card and after having walked a few blocks you see the same item at half price in another shop .  
Were,Where,were,where	were	where	I am writing to complain about the problems [were] exist on the musical show .  
Than,Then,than,then	than	then	In the first place , when the people think only in go to the shopping forgot others things : play with their children , talk with [than] parents , friends .  
Their,There,They,their,there,they	they	there	As concerned the food , our mothers [they] will help about that .  
Their,There,They,their,there,they	they	there	Moreover , at the party [they] will be come of course all the class , our teachers and the Principal at our school .  
Which,Witch,which,witch	witch	which	With a friend we had seen your advertisement for the show , [witch] was very attractive .  
Which,Witch,which,witch	witch	which	At the began of my work in a Insurance Company , I had only a old writting machine , [witch] makes a lot of noise and was very difficult to write with it because the switch were hard for my small fingers .  
Which,Witch,which,witch	witch	which	Now I have a new computer , [witch] is very easy to use , and confortable for my fingers also more farrster .  
Mad,Made,mad,made	mad	made	And that [mad] the concert absolutely perfect .  
Quiet,Quite,quiet,quite	quiet	quite	I 'll choose golf and basketball , golf because I 'm [quiet] good .  
Their,There,They,their,there,they	they	their	Pat , to win her new classemates ' friendship tell all what she knew about her friends and owing to what Pat said , her friends broke [they] friendship with Pat because their popularity was damaged .  
You,Your,you,your	your	you	If you do n't have the majority [your] are n't allowed to drink or smoke , or even worth to go in a bar .  
Their,There,They,their,there,they	They	There	[They] were so many pieces that we had spent a whole day to prepare the scene .  
Than,Then,than,then	then	than	We now breathe worse air in our lungs , [then] our grand-parents breathed .  
Their,There,They,their,there,they	there	they	But you need all the journalists to become famous so the only way is to accept that [there] are journalists and that they are just doing their job .  
To,Too,Two,to,too,two	to	too	By the way , the musical show started at 20:15 , when it had to start at 19:30 : it was n't in late , it was [to] much in late .  
Than,Then,than,then	than	then	Another thing that I appreciate a lot is the electric guitar ; I like very much play guitar , and in my free time I prefer play electric , [than] acoustic or classic guitar using distortion and gain and the highest volume possible .  
Than,Then,than,then	then	than	And last but not least I recognised after the show that your theatre restaurant was closed because waiters did n't come ...  I do n't know it is a typical situation in the Circle Theatrer that is promised much more [then] the people can get for their money , or it was on June 7 ( my visit ) only , but I am not agree with such situation and would ask you for my money back - my bank account number is enclosed .  
Than,Then,than,then	then	than	We were thinking is so many other activites to relax and enjoy ourself [then] sunbathing on the beach .  
You,Your,you,your	you	your	Secondly , [you] advertisement stated that the second show should start at 19:30 .  
You,Your,you,your	your	you	It had been a real joy to receive [your] and I still ca n't believe it .  
To,Too,Two,to,too,two	to	two	Answering another of your questions , I am more likely to stay in a log cabin considering that I will be [to] weeks in the camp .  
Life,Live,life,live	Live	Life	[Live] is too short to think about the poscesives .  
Life,Live,life,live	live	life	The houses will change because of new technologe , what may make our [live] more comfortable .  
Country,County,country,county	county	country	Almost all the people had a Television which provided events around our [county] very quickly .  
To,Too,Two,to,too,two	to	too	First of all , the advertisement I got layed emphasis on Danny Brook 's starring , but eventually , a disappoint unknown actor played his part , and I wonder whether he had real skills [to] .  
Quiet,Quite,quiet,quite	quiet	quite	So in my opinion , modern technology changed my daily routine [quiet] a lot .  
Life,Live,life,live	live	life	I retired four years ago and my [live] is very bored .  
Quiet,Quite,quiet,quite	quiet	quite	We had preparred [quiet] a long time ago , this travel to the capital and spared a lot of money as well .  
To,Too,Two,to,too,two	to	too	Because every one have different thinking like beverley center if you there every day or every week for a shopping you well get very boring because some time is [to] much people every where like in the resturant and shops .  
Their,There,They,their,there,they	they	there	In spide that fact there are of course many families especialy in small towns which eat lunch all together and [they] they solve their problem all together .  
Their,There,They,their,there,they	their	there	To begin with on your advertisment you say that Danny Brooks will be starring the show but instead [their] was a different actor which made us very disappointed .  
Their,There,They,their,there,they	their	there	Another thing that is written on the advertisment is that the night show will start at 7:30 but instead of that [their] was forty five minute delay The crowded got really upset and we were going to leave with the first chanse we had  You can understand how that made me feel , and when the tickets had no discount  It was the worst night of my life .  
Hole,Whole,hole,whole	hole	whole	I believe that some ather actors mabe made the [hole] store to be more interesting .  
Past,passed,past	past	passed	Humans [past] many things Throu the years made posipole many things .  
Were,Where,were,where	were	where	Now we are in a 20th centure [were] people went to the moun and discavered madesons aboute siriale illneses , In that year I live too .  
You,Your,you,your	You	Your	[You] restaurant was closed because your cooker was ill .  
You,Your,you,your	your	you	You might not know your neighbour because all the time [your] in the house .  
To,Too,Two,to,too,two	to	too	Things and technology changes every day our life , our jobs , our way of face the world , this is what differences both centuries , our grandparents ' changes lasted [to] long to change human life .  
Rise,raise,rise	rise	raise	Although this project could seem a very though work , I had to try it in order to [rise] my low global mark .  
Their,There,They,their,there,they	they	there	The only reason is I would like to try and I think [they] are matching activities , when you climb up the mountain then you can take the photograph of the views .  
You,Your,you,your	you	your	Thirdly if you 're fat you wo n't find [you] size .  
To,Too,Two,to,too,two	to	too	Forthly that product is too expensive for you and the last problem is you buy [to] much things
Their,There,They,their,there,they	their	there	In fact [their] would be only one possibility in July because I will end with my exams session at the end of this month and beginn a practical trainning the 1rst of August .  
You,Your,you,your	your	you	How are you ?  I 've well received your last letter and want to thank [your] for the pictures you 've joined with .  
Were,Where,were,where	where	were	Furthermore , I had to make announcements at the loudspeaker for the children who [where] lost .  
Were,Where,were,where	were	where	I thought you were a good theatre , [were] people can go and have a good evening alone or with somebody else , but realy I am very disappointed and I want to ask for my money back .  
Hole,Whole,hole,whole	hole	whole	Seen my [hole] life I can say the moden technology has changed my daily life in many ways .  
To,Too,Two,to,too,two	to	too	After show we went immediately to the tickets office for asking money back , but they were [to] strict and close-minded .  
Their,There,They,their,there,they	they	their	Children always ask for something and they want to have all [they] toys which they see and that 's not very enjoyable for the parents , because sometimes they spend more money , from the amount of money that they have planned .  
Them,Theme,them,theme	theme	them	Every students keep talking about he [theme] and give their opinions .  
You,Your,you,your	Your	You	[Your] state in your advertisment that he would come on stage , but instead of him someone else turned up .  
You,Your,you,your	your	you	I am writing in order to tell [your] some things that happened to me at the theatre , at that moment I felt astonish thinking about : " How an important theatre have problems like this .
To,Too,Two,to,too,two	to	two	I have [to] questions .  
You,Your,you,your	your	you	I am writting to you to give [your] my opinion about your festival .  
To,Too,Two,to,too,two	too	to	For example , put the music [too] hight when my syster is working .  
To,Too,Two,to,too,two	to	too	Despite I like to go to nice clothes shops I usually return home with nothing in my hands , as prices are usually [to] high , unfortunately not affordable for me .  
Than,Then,than,then	then	than	It is convinient , I mean " double " lessons because you have more time to understand matherial what is givven and because you have to prepare only four subjects for " tomorrow " and it is less [then] seven subjects .  
Their,There,They,their,there,they	There	They	[There] were my thoughts when I first saw the advertisement for a " Sky Dive " .  
Plain,plain,plane	plain	plane	The following Sunday I fint my self on a [plain] flying 20000ft from the ground .  
Their,There,They,their,there,they	they	there	I think that they have right because , [they] are also people like me or like you and they should have private life .  
Word,World,word,world	word	world	First the conquist of the space , then the computers , and now the new biotecnologies have changed , and are changing , the face of the [word] .  
Life,Live,life,live	live	life	I was very happy that I managed to save the [live] of the boy .  
To,Too,Two,to,too,two	to	too	Now , when I consider about the events it 's clear for me that if I got a few minutes later probably would be [to] late .  
Life,Live,life,live	live	life	You should ignore the dangerous if you convince you can save somebody his [live] .  
To,Too,Two,to,too,two	to	too	The jazz , rock and classical concerts were really entertaining except that there were some concert halls [to] small for the audience : I 'm sure that you can find bigger halls for next year .  
You,Your,you,your	you	your	Finally , I hope that you understand my personal opinion about the programme , I will understand accept [you] personal opinion as well .  
Their,There,They,their,there,they	there	their	It is very intresting for me how new works , [there] possiblyties .  
You,Your,you,your	you	your	As well as that , I expect [you] plays and films are performed more .  
You,Your,you,your	you	your	Finally , I wanted to visit [you] theatre restaurant after the show but it was already closed .  
To,Too,Two,to,too,two	to	too	but sometimes it 's going a bit [to] far .  
Except,accept,except	accept	except	Thank 's for [accept] me in the competition .  
To,Too,Two,to,too,two	two	to	and I 've been [two] competition
You,Your,you,your	you	your	and they are only spent on material things , you would put [you] money in the bank because you do n't need it now , but tomorrow you do n't know .  
